player_slug,player_name,canonical_name,season_end,war
guyky01,Kyle Guy,kyle guy,2020,-0.085914625925375
guyky01,Kyle Guy,kyle guy,2021,-0.2223357800353608
guyky01,Kyle Guy,kyle guy,2022,-0.0298647297088398
hachiru01,Rui Hachimura,rui hachimura,2020,-1.88884431224357
hachiru01,Rui Hachimura,rui hachimura,2021,-0.7359189943878734
hachiru01,Rui Hachimura,rui hachimura,2022,-0.5284910856434302
haganas01,Ashton Hagans,ashton hagans,2021,-0.0343349443100744
halibty01,Tyrese Haliburton,tyrese haliburton,2021,1.605072584279603
halibty01,Tyrese Haliburton,tyrese haliburton,2022,6.11234563355192
hallde01,Devon Hall,devon hall,2020,-0.099148096477193
halldo01,Donta Hall,donta hall,2020,-0.340215901842495
halldo01,Donta Hall,donta hall,2021,0.475545779530285
halljo01,Josh Hall,josh hall,2021,-1.339817725273982
hallty01,Tyler Hall,tyler hall,2022,-0.0228032095110694
hamilda02,Daniel Hamilton,daniel hamilton,2018,-0.067764722
hamilda02,Daniel Hamilton,daniel hamilton,2019,0.139853187
hamilju01,Justin Hamilton,justin hamilton,2017,0.34681925
hammoaj01,AJ Hammons,aj hammons,2017,-0.515632351
hamptrj01,R.J. Hampton,rj hampton,2021,-1.800631062236003
hamptrj01,R.J. Hampton,rj hampton,2022,-2.118598929453977
hannadu01,Dusty Hannahs,dusty hannahs,2019,-0.13866557
hannadu01,Dusty Hannahs,dusty hannahs,2020,0.090930531801605
hardati02,Tim Hardaway Jr.,tim hardaway,2017,4.087242784
hardati02,Tim Hardaway Jr.,tim hardaway,2018,4.588989446
hardati02,Tim Hardaway Jr.,tim hardaway,2019,3.437307247
hardati02,Tim Hardaway Jr.,tim hardaway,2020,4.38967595062748
hardati02,Tim Hardaway Jr.,tim hardaway,2021,5.227056374524663
hardati02,Tim Hardaway Jr.,tim hardaway,2022,2.001993172249828
hardeja01,James Harden,james harden,2017,17.34394892
hardeja01,James Harden,james harden,2018,20.926163
hardeja01,James Harden,james harden,2019,22.79136841
hardeja01,James Harden,james harden,2020,19.8423843907592
hardeja01,James Harden,james harden,2021,8.326338836194257
hardeja01,James Harden,james harden,2022,7.227443906860888
harklma01,Maurice Harkless,maurice harkless,2017,3.878908455
harklma01,Maurice Harkless,maurice harkless,2018,1.115560336
harklma01,Maurice Harkless,maurice harkless,2019,3.647645859
harklma01,Maurice Harkless,maurice harkless,2020,0.197630803059089
harklma01,Maurice Harkless,maurice harkless,2021,-0.4214963220613077
harklma01,Maurice Harkless,maurice harkless,2022,-0.2318442093636816
harpeja01,Jared Harper,jared harper,2020,-0.112351577063928
harpeja01,Jared Harper,jared harper,2021,-0.0857919747972653
harpeja01,Jared Harper,jared harper,2022,0.3902537872618524
harpeju01,Justin Harper,justin harper,2017,-0.166095663
harremo01,Montrezl Harrell,montrezl harrell,2017,1.217511902
harremo01,Montrezl Harrell,montrezl harrell,2018,2.920790724
harremo01,Montrezl Harrell,montrezl harrell,2019,5.290323998
harremo01,Montrezl Harrell,montrezl harrell,2020,5.98688039769154
harremo01,Montrezl Harrell,montrezl harrell,2021,4.992221162679108
harremo01,Montrezl Harrell,montrezl harrell,2022,4.455444129743747
harriaa01,Aaron Harrison,aaron harrison,2017,-0.094780753
harriaa01,Aaron Harrison,aaron harrison,2018,-0.464630369
harrian01,Andrew Harrison,andrew harrison,2017,-1.19995119
harrian01,Andrew Harrison,andrew harrison,2018,1.222603424
harrian01,Andrew Harrison,andrew harrison,2019,-0.20203891
harride01,Devin Harris,devin harris,2017,2.677510312
harride01,Devin Harris,devin harris,2018,2.516831331
harride01,Devin Harris,devin harris,2019,0.677612056
harriga01,Gary Harris,gary harris,2017,3.848939942
harriga01,Gary Harris,gary harris,2018,5.715490095
harriga01,Gary Harris,gary harris,2019,3.185504417
harriga01,Gary Harris,gary harris,2020,2.09503383397286
harriga01,Gary Harris,gary harris,2021,0.031009393681621
harriga01,Gary Harris,gary harris,2022,1.133051879679543
harrija01,Jalen Harris,jalen harris,2021,0.3102427839932144
harrijo01,Joe Harris,joe harris,2017,-0.297273953
harrijo01,Joe Harris,joe harris,2018,2.925280567
harrijo01,Joe Harris,joe harris,2019,3.432000633
harrijo01,Joe Harris,joe harris,2020,2.31573991878904
harrijo01,Joe Harris,joe harris,2021,5.637595479747341
harrijo01,Joe Harris,joe harris,2022,-0.4213268083054115
harrima01,Manny Harris,manny harris,2017,-0.279853578
