draft_year,pick,player_slug,player_name,canonical_name,war_first4,cost_first4,bucket,cost_per_war_per_season,war_per_season
2019,14,langfro01,Romeo Langford,romeo langford,1.5456544996288504,18256809.0,11-20,2952925.2825233433,0.3864136249072126
2019,16,okekech01,Chuma Okeke,chuma okeke,1.9668604439503747,11233384.0,11-20,1427831.8569260202,0.4917151109875937
2019,17,alexani01,Nickeil Alexander-Walker,nickeil alexander walker,0.7437389822301688,15841878.0,11-20,5325079.893115423,0.1859347455575422
2019,18,bitadgo01,Goga Bitadze,goga bitadze,0.6175890057791563,15705610.0,11-20,6357630.1767976135,0.15439725144478908
2019,19,samanlu01,Luka Å amaniÄ,luka a amania,0.2242350125912331,0.0,11-20,0.0,0.056058753147808275
2019,20,thybuma01,Matisse Thybulle,matisse thybulle,11.638027485299732,13814143.0,11-20,296745.79771892127,2.909506871324933
2019,21,clarkbr01,Brandon Clarke,brandon clarke,9.261241684026608,13410021.0,21-30,361993.0636063906,2.315310421006652
2019,22,willigr01,Grant Williams,grant williams,4.015772672387012,13018041.0,21-30,810431.8933136943,1.003943168096753
2019,24,jeromty01,Ty Jerome,ty jerome,0.92935503896877,12804302.0,21-30,3444405.384138202,0.2323387597421925
2019,25,littlna01,Nassir Little,nassir little,1.5174676046289663,11901028.0,21-30,1960672.4986577064,0.3793669011572416
2019,26,windldy01,Dylan Windler,dylan windler,0.7746300593622344,11510648.0,21-30,3714885.531771419,0.1936575148405586
2019,27,kabenmf01,Mfiondu Kabengele,mfiondu kabengele,0.0109747378501238,5503043.0,21-30,125357048.95989665,0.00274368446253095
2019,28,poolejo01,Jordan Poole,jordan poole,4.165346769735715,11115242.0,21-30,667125.8489665464,1.0413366924339287
2019,29,johnske04,Keldon Johnson,keldon johnson,5.26978278793677,11034246.0,21-30,523467.7805534437,1.3174456969841926
2019,30,porteke02,Kevin Porter Jr.,kevin porter,1.4369689651815976,8857592.0,21-30,1541020.0593442563,0.3592422412953994
2019,31,claxtni01,Nic Claxton,nic claxton,4.656643415244239,0.0,31-45,0.0,1.1641608538110597
2019,36,martico01,Cody Martin,cody martin,7.335858325188312,12506605.0,31-45,426214.78106581874,1.833964581297078
2019,38,gaffoda01,Daniel Gafford,daniel gafford,5.201657063195263,6856666.0,31-45,329542.38989123696,1.3004142657988158
2019,43,nowelja01,Jaylen Nowell,jaylen nowell,1.2146788565725424,7358356.0,31-45,1514465.3173520823,0.3036697141431356
2019,46,hortota01,Talen Horton-Tucker,talen horton tucker,2.0226870070649654,24612115.0,46-60,3042007.353835924,0.5056717517662414
2019,48,mannte01,Terance Mann,terance mann,7.545031014318915,6958356.0,46-60,230560.8812871171,1.8862577535797287
2019,52,mcdanja01,Jalen McDaniels,jalen mcdaniels,0.7952363708824837,6856666.0,46-60,2155543.3865503008,0.19880909272062092
2019,59,hernade01,Dewan Hernandez,dewan hernandez,0.050252357165406,898310.0,46-60,4468994.345097117,0.0125630892913515
2020,1,edwaran01,Anthony Edwards,anthony edwards,5.612243429939507,49056128.0,01-05,2185228.0915997596,1.4030608574848769
2020,3,ballla01,LaMelo Ball,lamelo ball,8.38284548312848,39441641.0,01-05,1176260.5275076705,2.09571137078212
2020,5,okorois01,Isaac Okoro,isaac okoro,0.3467732529728391,32223460.0,01-05,23230929.52221137,0.08669331324320978
2020,6,okongon01,Onyeka Okongwu,onyeka okongwu,3.4162352202128243,29274428.0,06-10,2142301.840545999,0.8540588050532061
2020,8,toppiob01,Obi Toppin,obi toppin,1.753938666604291,24504538.0,06-10,3492787.186145162,0.4384846666510728
2020,9,avdijde01,Deni Avdija,deni avdija,4.522580895142256,22534917.0,06-10,1245688.9949832049,1.130645223785564
2020,10,smithja04,Jalen Smith,jalen smith,0.1690161786132389,20474576.0,06-10,30284935.099100985,0.04225404465330972
2020,11,vassede01,Devin Vassell,devin vassell,2.4503774855822464,20580182.0,11-20,2099695.0593420346,0.6125943713955616
2020,12,halibty01,Tyrese Haliburton,tyrese haliburton,7.717418217831523,19772776.0,11-20,640524.3127265639,1.9293545544578807
2020,13,lewiski01,Kira Lewis Jr.,kira lewis,0.194620783436817,18993949.0,11-20,24398664.757926952,0.04865519585920425
2020,14,nesmiaa01,Aaron Nesmith,aaron nesmith,0.382965905607156,18249041.0,11-20,11912967.141988711,0.095741476401789
2020,16,stewais01,Isaiah Stewart,isaiah stewart,3.4917386367967764,16656591.0,11-20,1192571.4330726864,0.8729346591991941
2020,18,greenjo02,Josh Green,josh green,1.1114138406165717,15044813.0,11-20,3384160.888183129,0.2778534601541429
