player_slug,player_name,canonical_name,season_end,war,salary
caulewi01,Willie Cauley-Stein,willie cauley stein,2019,2.426611162,4696875.0
caulewi01,Willie Cauley-Stein,willie cauley stein,2020,1.91954418453066,2177483.0
caulewi01,Willie Cauley-Stein,willie cauley stein,2021,1.516949434195334,4996634.0
caverah01,Ahmad Caver,ahmad caver,2022,0.0085236118992687,61489.0
chalmma01,Mario Chalmers,mario chalmers,2018,1.218142017,1471382.0
champju01,Justin Champagnie,justin champagnie,2022,0.4336698559630868,534959.0
chandty01,Tyson Chandler,tyson chandler,2017,0.847966798,12415000.0
chandty01,Tyson Chandler,tyson chandler,2018,1.063755443,13000000.0
chandty01,Tyson Chandler,tyson chandler,2019,0.366114888,1333140.0
chandwi01,Wilson Chandler,wilson chandler,2017,4.181926712,11233146.0
chandwi01,Wilson Chandler,wilson chandler,2018,2.592493738,12016854.0
chandwi01,Wilson Chandler,wilson chandler,2019,0.42893884,12800562.0
chandwi01,Wilson Chandler,wilson chandler,2020,0.367519888995213,1620564.0
chiozch01,Chris Chiozza,chris chiozza,2021,0.6312853873736906,547332.0
chrisma01,Marquese Chriss,marquese chriss,2020,1.38265684753292,654469.0
chrisra01,Rakeem Christmas,rakeem christmas,2017,0.008241984,1052342.0
clarkbr01,Brandon Clarke,brandon clarke,2020,2.45081684260902,2478840.0
clarkbr01,Brandon Clarke,brandon clarke,2021,2.238790084203229,3172156.0
clarkbr01,Brandon Clarke,brandon clarke,2022,4.571634757214357,3153220.0
clarkga01,Gary Clark,gary clark,2020,0.031213059312743,555409.0
clarkga01,Gary Clark,gary clark,2022,0.3547262889721346,938044.0
clarkia01,Ian Clark,ian clark,2017,0.44282636,980431.0
clarkjo01,Jordan Clarkson,jordan clarkson,2017,1.345934747,12500000.0
clarkjo01,Jordan Clarkson,jordan clarkson,2018,2.630692161,12500000.0
clarkjo01,Jordan Clarkson,jordan clarkson,2019,3.042700568,12500000.0
clarkjo01,Jordan Clarkson,jordan clarkson,2020,3.50954653123962,13437500.0
clarkjo01,Jordan Clarkson,jordan clarkson,2021,5.201430425355731,14014951.0
clarkjo01,Jordan Clarkson,jordan clarkson,2022,6.085724548834655,14361836.0
claxtni01,Nicolas Claxton,nicolas claxton,2020,0.077722724040115,898310.0
